[CG99] SA1656-89                     12.9979 28.2056
[CTM2010] 10679                      13.0119 28.0865
[EDG2007] 620                        13.0049 27.7819
[CG99] SA1656-39                     12.9844 27.8264
[EDG2007] 315                        12.997 27.7543
[APD2000] J130042.8+280523           13.0118 28.0899
GMP 3290                             12.994 28.2041
[EDG2007] 502                        12.9937 27.7577
[EDG2007] 560                        12.9844 27.8248
[CG99] SA1656-98                     13.0033 28.1917
[EDG2007] 622                        12.9851 27.8136
[CTM2010] 1044251                    13.014 28.0104
[CG99] SA1656-84                     12.9831 28.1181
GMP 4020                             12.9796 27.9814
[EDG2007] 347                        12.9976 27.7513
[EDG2007] 670                        12.9903 27.7681
[EDG2007] 549                        12.9842 27.8232
[CG99] SA1656-40                     12.984 27.825
[EDG2007] 724                        13.0092 27.8172
GMP 3796                             12.9843 28.1422
GMP 3783                             12.9846 28.1458
[EDG2007] 637                        12.9803 28.0568
[EDG2007] 593                        13.008 27.8013
GMP 3860                             12.983 28.1242
GMP 3998                             12.9802 27.9076
[EDG2007] 745                        12.9975 27.7473
[CTM2010] 10863                      13.0125 28.0891
[CTM2010] 1044847                    13.0144 28.0171
GMP 3832                             12.9835 28.1361
[CG99] SA1656-107                    13.0146 27.9992
[APD2000] J130033.1+280906           13.0091 28.1511
[EDG2007] 559                        12.9799 27.9103
[EDG2007] 554                        13.0064 27.7809
[EDG2007] 742                        13.0087 27.8041
[EDG2007] 523                        12.984 27.8149
[CG99] SA1656-46                     12.9867 27.7847
[EDG2007] 481                        13.0123 27.8583
[EDG2007] 400                        13.009 27.8056
[EDG2007] 736                        12.9828 27.8325
GMP 4149                             12.9853 28.1633
GMP 3211                             12.9956 27.7425
GMP 3591                             12.9882 28.1897
[EDG2007] 383                        13.0114 27.8398
[EDG2007] 358                        12.9798 27.902
[EDG2007] 689                        13.0147 28.0209
GMP 2452                             13.0132 28.0831
[CG99] SA1656-94                     13.0007 28.2153
[EDG2007] 453                        12.9834 27.8191
[CG99] SA1656-53                     12.9861 27.7861
[EDG2007] 585                        13.0139 27.8948
[HVH2010] Comai J130050.590+280356.5613.0141 28.0657
2MASX J13005468+2759512              13.0152 27.9976
[EDG2007] 499                        12.9848 27.7966
[CTM2010] 12045                      13.0142 28.0632
[PPH2009b] CcGV1                     13.0132 28.0928
[EDG2007] 505                        12.9954 27.7367
[CG99] SA1656-29                     12.9819 27.8364
[EDG2007] 489                        13.0153 27.9908
GMP 3243                             12.9947 27.7372
GMP 3875                             12.9827 28.1394
GMP 3580                             12.9884 28.1996
[EDG2007] 441                        12.9801 28.0869
2XMM J130012.1+281243                13.0034 28.2119
[EDG2007] 221                        13.0152 27.9376
GMP 2379                             13.0154 27.9556
[CG99] SA1656-41                     12.9846 27.7944
[EDG2007] 488                        13.0059 27.7639
[EDG2007] 325                        12.9894 27.7535
GMP 3494                             12.9901 28.2134
[CG99] SA1656-83                     12.98 28.0917
GMP 3907                             12.9822 27.8245
GMP 3249                             12.9946 28.2292
GMP 3496                             12.9901 28.2144
[CG99] SA1656-49                     12.9819 27.8264
[EDG2007] 306                        13.0014 27.7364
[APD2000] J130026.2+281127           13.0073 28.1908
GMP 3162                             12.9964 27.7281
GMP 3742                             12.9854 27.7786
GMP 3763                             12.985 27.7825
GMP 2786                             13.0051 28.2101
[CG99] SA1656-31                     12.9817 27.825
[HVH2010] Comai J130052.942+280435.8613.0147 28.0766
[CG99] SA1656-96                     13.0022 28.2264
[CG99] SA1656-100                    12.9997 28.2347
[EDG2007] 700                        13.015 27.8887
GMP 4075                             12.9781 28.0458
[CG99] SA1656-86                     12.9831 28.1625
GMP 3231                             12.995 27.7238
[EDG2007] 733                        13.0125 27.8245
GMP 3807                             12.9841 27.7833
[APD2000] J130001.1+281413           13.0003 28.237
GMP 3504                             12.9899 28.2247
GMP 4114                             12.9773 27.946
[EDG2007] 615                        12.99 27.735
GMP 2445                             13.0133 27.8356
GMP 3495                             12.9901 28.2281
[CG99] SA1656-50                     12.985 27.7694
GMP 4125                             12.9769 27.9678
GMP 3678                             12.9865 28.2067
[EDG2007] 458                        13.0118 27.8048
[APS2006] 43849                      13.0165 28.0327
SDSSCGB 37165.2                      13.0167 28.0252
[EDG2007] 659                        13.0109 27.7899
SDSSCGB 37165.4                      13.0167 28.0323
[EDG2007] 292                        13.016 27.8936
GMP 3306                             12.9936 28.2447
[EDG2007] 249                        12.9804 27.8241
GMP 2323                             13.0171 27.9969
[CG99] SA1656-48                     12.9799 27.8306
[EDG2007] 692                        13.0135 27.8239
[CG99] SA1656-111                    13.0172 28.0109
GMP 3391                             12.9921 27.7162
[CG99] SA1656-28                     12.9815 27.8
GMP 3418                             12.9916 27.7175
GMP 3203                             12.9956 28.2528
GMP 3844                             12.9834 28.1869
GMP 3550                             12.9889 28.2325
GMP 3820                             12.9839 27.7679
[EDG2007] 739                        13.0053 27.731
GMP 3519                             12.9896 27.7236
[CG99] SA1656-34                     12.9822 27.7861
[APD2000] J130001.3+281505           13.0003 28.2514
GMP 2348                             13.0164 28.0731
